Initiative,Category,Sub_Category,Investment_Date,Total_Investment_Lakh,Year1_Actual_Savings_Lakh,Year1_Target_Savings_Lakh,Achievement_Percent,Payback_Period_Years,Annual_ROI_Percent,5Year_NPV_Lakh,Comments
Solar Panel Installation,Environmental,Energy,2025-01-15,35.0,8.2,8.5,96.5,4.3,23.4,18.5,Grid installed on factory roof
Solar Inverters & Battery,Environmental,Energy,2025-02-10,15.0,3.3,3.5,94.3,4.5,22.0,8.2,Battery backup for night operations
Waste Segregation Unit,Environmental,Waste,2025-02-20,6.5,1.8,2.0,90.0,3.6,27.7,6.8,Automated segregation system
Recycling Equipment,Environmental,Waste,2025-03-05,3.5,1.0,1.0,100.0,3.5,28.6,3.5,Plastic & paper recycling
Carbon Tracking Software,Environmental,Monitoring,2025-01-25,2.5,0.0,0.0,0.0,N/A,N/A,0.0,Software licensing and setup
Employee Health Insurance,Social,Health,2025-01-10,18.0,2.8,3.5,80.0,6.4,15.6,8.5,Reduced sick leave costs
Mental Wellness Program,Social,Health,2025-02-15,3.5,0.8,1.0,80.0,4.4,22.9,2.8,Counseling and workshops
Skill Development Training,Social,Training,2025-01-20,3.5,0.6,0.5,120.0,5.8,17.1,1.5,Productivity improvement savings
Diversity Hiring Initiative,Social,Recruitment,2025-03-01,2.0,0.0,0.0,0.0,N/A,N/A,0.0,Recruitment drive costs
Community Partnership Programs,Social,CSR,2025-01-15,8.0,0.0,0.0,0.0,N/A,N/A,0.0,Direct community investment
ESG Reporting System,Governance,Compliance,2025-02-01,4.5,0.0,0.0,0.0,N/A,N/A,0.0,GRI reporting platform
Vendor Audit Program,Governance,Supply Chain,2025-02-10,2.8,0.0,0.0,0.0,N/A,N/A,0.0,Third-party audit costs
Ethics Framework Setup,Governance,Policy,2025-03-15,1.2,0.0,0.0,0.0,N/A,N/A,0.0,Whistleblower system
Risk Management Software,Governance,Risk,2025-01-30,3.0,0.0,0.0,0.0,N/A,N/A,0.0,Risk tracking platform
Water Conservation System,Environmental,Water,2025-03-20,5.5,0.5,0.0,N/A,11.0,9.1,1.2,Rainwater harvesting installed
LED Lighting Upgrade,Environmental,Energy,2025-02-25,3.2,0.5,0.5,100.0,6.4,15.6,1.5,Factory-wide LED conversion
